id,longitude,latitude
144,80.218038,12.9815342
145,80.2186213,12.9798344
146,80.2189988,12.9789492
147,80.2207299,12.9754477
148,80.2207955,12.9754039
149,80.2036698,13.0118799
150,80.2042175,13.0136998
151,80.2056366,13.0176571
152,80.2063314,13.0216697
153,80.2063599,13.0222231
154,80.2064871,13.0229676
155,80.2066207,13.0236595
156,80.2069983,13.0254279
157,80.2654066,13.0583
158,80.2652229,13.0611354
159,80.2657837,13.0616924
160,80.2671926,13.0627448
161,80.2674425,13.0642574
162,80.267771,13.0658202
163,80.2679797,13.066152
164,80.2616795,13.0482248
165,80.2619725,13.0489504
166,80.2622767,13.0501932
167,80.2626533,13.0509515
168,80.2637923,13.052294
169,80.2598741,13.0453056
170,80.2598438,13.0448445
171,80.2596472,13.0435045
172,80.259547,13.0430153
173,80.2584549,13.0408492
174,80.2584085,13.0407872
175,80.2474354,12.897603
176,80.2431353,13.0240795
177,80.2421025,13.0210407
178,80.2418886,13.0204193
179,80.241162,13.0180785
180,80.2403241,13.0069116
181,80.2402074,13.0067417
182,80.2631124,13.0214174
183,80.263039,13.0202524
184,80.2626792,13.0202477
185,80.2631814,13.0215528
186,80.2633055,13.0218601
187,80.2635609,13.0224319
188,80.2637108,13.022714
189,80.2645205,13.0241427
190,80.2650406,13.0248664
191,80.2655239,13.0255607
192,80.2583344,13.0222419
193,80.251798,12.9864529
194,80.2517504,12.9862881
195,80.2433032,12.9862105
196,80.2411166,12.9862239
197,80.2434122,12.9812792
198,80.2434072,12.981385
199,80.2433382,12.9843707
200,80.2432971,12.9863017
201,80.2317683,13.0277128
202,80.2313679,13.0260918
203,80.2308067,13.0295263
204,80.2307504,13.0301345
205,80.230704,13.0307475
206,80.2017839,13.076235
207,80.2013937,13.0762295
208,80.2013033,13.0762401
209,80.2764355,13.0742962
210,80.2765049,13.0737715
211,80.2764967,13.0735596
212,80.2825905,13.0882414
213,80.2816168,13.0880317
214,80.280899,13.0858418
215,80.2790026,13.0833505
216,80.2853312,13.0884924
217,80.2858047,13.0913394
218,80.2860659,13.0928667
219,80.2862287,13.0939701
220,80.2863522,13.0950127
221,80.2865822,13.096815
