link_id,tail,head,length
5815,3101,28045,135
5816,10493,3101,113
32725,21822,21823,430
32724,21821,21822,10
43497,10087,3403,14
43496,3403,3402,174
43494,3402,3401,131
32729,21824,21825,480
32728,21823,21824,745
24974,15335,15402,423
22759,19701,13653,22
60268,15147,14892,132
38969,1541,331,163
60263,14891,14888,131
60267,14892,14891,41
60264,14894,14888,62
5926,3171,19678,82
20312,11792,20136,60
24762,15201,15209,54
25570,15889,15890,131
16693,9422,9423,115
16692,9421,9422,49
16691,9420,9421,22
16697,9424,9425,87
16694,9423,9424,43
16699,9426,9427,93
25081,15435,15445,210
17188,12566,9744,29
11658,6228,6229,98
11653,6224,6225,102
11651,6223,6224,65
17184,9741,12569,37
11657,6227,6228,152
11654,6225,6226,167
17187,9744,9754,28
17760,10143,10144,17
32668,21792,21793,328
60447,15055,15047,93
3798,6060,1893,141
1834,887,1104,43
3797,1893,10677,258
932,405,26586,40
931,1084,405,121
936,407,3093,37
934,406,407,38
18561,20640,10580,257
18560,10580,20641,135
60459,15060,15058,91
12307,6602,18034,132
48217,6044,6043,12
41308,1870,1869,59
48219,6045,6044,306
30169,19648,19649,10
4878,26909,2504,462
1174,515,19930,196
9010,4680,4681,88
9013,4681,4682,177
41521,2001,2000,268
41520,2000,1999,37
41523,2002,2001,3
41527,2004,2003,80
41526,2003,2002,263
43254,3273,3272,72
37228,26562,26563,90
35152,24370,24395,64
37226,26561,26562,12
15959,8956,20218,81
15958,14651,8956,37
1139,9959,500,45
1138,500,27703,14
15955,8954,15385,52
15956,8954,15402,57
15139,8467,20140,67
1179,21970,516,139
11127,13451,5946,318
11128,5946,7913,204
4256,2115,27144,168
59560,14244,14243,55
17970,10260,19434,2485
34339,23417,23418,44
29928,19463,19464,37
29927,19462,19463,47
510,215,27193,143
29923,19459,19460,4
29920,19457,19458,138
23658,19458,14281,760
23657,14281,19459,128
30803,20213,20202,110
43228,3260,3259,66
11333,6061,10682,193
11332,10681,6061,171
11339,6065,11316,46
43222,3257,3256,120
43224,3258,3257,60
43225,3259,3258,62
24584,15050,15052,122
24585,15052,15055,42
24582,15050,15120,122
24580,15047,15055,93
24588,15056,15120,62
3905,1947,9741,28
3907,12541,1948,38
3903,12547,1947,8
60553,15185,15140,80
13651,7425,7631,85
8764,4559,4560,470
5809,3098,10495,13
5808,3098,3171,17
24639,15092,15094,34
60558,15152,15144,196
5802,3095,3096,208
5801,3093,3094,119
5800,3092,9964,455
5807,3097,3098,366
39046,19920,379,157
16752,9500,9464,46
32737,21828,21829,73
32735,21827,21828,1360
51814,20140,8460,94
32733,21826,21827,359
16754,9471,9500,283
32731,21825,21826,381
43485,14580,3398,150
43486,3400,3399,341
43482,3399,3398,210
32739,21829,21830,54
8888,4616,4617,90
38972,4653,334,567
38973,6045,334,25
22744,19627,13641,396
22745,13641,19628,23
43003,3096,3095,208
17491,9987,9988,113
19630,11296,13451,25
5931,26577,3180,125
19638,11303,27700,7
3570,1785,8041,191
21082,12426,12427,60
21084,12428,12471,84
25505,19234,15808,51
25504,15808,15807,52
16685,9416,9417,68
16687,9417,9418,38
16680,9413,9414,54
16682,9414,9415,115
16683,9415,9416,116
11460,19757,6125,109
4888,2508,2509,153
4889,2508,14594,21
4882,2506,2507,198
2701,1329,2026,57
4885,2507,17022,311
2703,1329,10846,245
4887,6644,2508,131
25215,15550,15552,151
25216,15550,15554,166
29852,19384,20924,541
17407,13338,9937,105
17406,9937,19701,210
25219,15554,15562,146
25186,15516,15530,228
1828,883,1105,38
60455,15120,15056,62
1827,883,887,32
60457,15058,15056,107
60451,15052,15050,122
60452,15055,15052,42
928,27700,402,72
42992,18084,3082,69
11303,6040,14718,171
3470,11285,1741,180
24102,14625,14626,5
24101,14629,14624,15
24106,14627,22816,19
24104,14626,14627,709
24105,22871,14626,5
41312,1872,1871,59
41310,1871,1870,48
41311,18158,1871,67
41317,18159,1873,65
41314,1873,1872,58
41315,1874,1873,53
41319,1875,1874,61
18994,10845,10846,324
18992,10844,10845,12
18990,10843,10844,95
40047,3094,1084,168
30172,19650,19651,357
30171,19649,19650,250
9007,4678,4679,405
9005,4677,4678,54
9003,4676,11595,69
9002,4676,4677,50
9001,4675,9413,104
9000,4675,9412,10
41532,2006,2005,77
27850,17874,21842,113
27853,19685,17875,61
27852,17875,19686,121
41536,2008,2007,12
9009,4679,4680,234
41535,2007,2006,170
20028,11595,12429,51
781,14548,335,181
18575,21638,10588,340
18576,10588,21639,1001
32749,21834,21835,169
18578,20627,10589,33
18579,10589,20628,33
15124,8460,20140,94
15125,8460,15311,19
18196,10369,10370,326
18195,10378,10369,24
30717,20138,20139,46
20348,11819,12066,67
56016,11413,11412,75
14309,26895,7882,114
41530,2005,2004,70
29614,19227,19329,209
18750,10689,10952,350
18752,11361,10690,295
18753,10691,19881,463
18754,19451,10691,169
18755,19677,10691,11
508,214,215,385
29931,19465,19466,217
504,212,213,109
505,213,214,255
29934,19466,19467,81
29936,19467,19468,117
29937,19468,19469,131
31539,20868,20869,46
29613,19237,19227,159
50441,9418,7434,57
50442,9419,7434,29
1106,492,482,75
1105,482,488,65
1108,485,483,82
1109,483,849,84
3862,20322,1931,26
3867,1932,20176,11
3866,20175,1932,495
3864,1931,14156,11
11322,22867,6053,37
11323,6053,22868,33
11321,6052,6053,444
11329,10676,6060,117
60999,15516,15496,104
60995,15502,15492,22
60994,15496,15492,121
37489,26905,26895,86
24642,15100,15102,47
24644,15102,15108,34
24647,15104,15108,8
24646,15104,15106,41
216,99,19632,71
32702,21809,21810,65
215,20923,99,388
32707,21813,21814,23
32706,21812,21813,34
32704,21811,21812,49
218,19651,100,242
19793,11413,11785,186
19791,11412,11413,75
19795,11414,11785,72
6089,3277,3278,66
6087,3276,3277,16
6084,3274,3275,63
6085,3275,3276,55
6082,3273,3274,24
51170,11295,7965,67
24863,20209,15266,58
17217,12569,9764,24
24665,15122,15133,414
21079,12425,12426,23
21078,12424,12425,24
21075,12423,12424,30
21074,12422,12423,112
60517,15118,15106,55
60511,15108,15102,34
60513,15106,15104,41
21072,12421,12422,214
2554,1264,15749,73
2555,27144,1264,69
12783,6933,18823,303
17789,10165,10166,42
17787,10164,10165,50
4891,2509,2510,68
4897,2512,14593,25
4895,2511,2512,302
17781,10162,10157,152
25207,15541,15552,205
21215,12563,12566,34
25196,15530,15541,111
6064,3265,3266,168
12094,19624,6471,169
6067,3266,3267,110
6061,3263,3264,129
6063,3264,3265,113
61066,15554,15550,166
6069,3267,3268,87
42211,3096,2517,194
2604,1286,9965,447
2606,27139,1286,102
45778,4571,4570,225
2602,9962,1285,450
2603,1285,9963,207
45777,4570,4569,93
45771,11609,4560,97
39723,1105,844,13
39726,851,850,126
39728,866,851,55
10789,14717,5779,149
10788,5778,5779,804
3467,1740,8825,99
8892,4618,27664,14
8891,4617,4618,308
3468,1741,11283,282
